Oscar,Total,MovieName
Won 7 Oscars,30 wins & 7 nominations total,The Bridge on the River Kwai
Won 2 Oscars,83 wins & 58 nominations total,Fargo
Nominated for 1 Oscar,5 wins & 22 nominations total,Warrior
Nominated for 2 Oscars,16 wins & 46 nominations total,Catch Me If You Can
Awards,21 wins & 22 nominations,Gran Torino
Nominated for 1 Oscar,11 wins & 26 nominations total,Klaus
Awards,5 wins & 2 nominations,Tonari no Totoro
Won 4 Oscars,68 wins & 86 nominations total,Million Dollar Baby
Nominated for 3 Oscars,48 wins & 95 nominations total,Harry Potter and the Deathly Hallows: Part 2
Nominated for 1 Oscar,13 wins & 5 nominations total,Bacheha-Ye aseman
Nominated for 2 Oscars,13 wins & 21 nominations total,Blade Runner
Won 3 Oscars,242 wins & 337 nominations total,12 Years a Slave
Awards,1 win & 7 nominations,Before Sunrise
Won 4 Oscars,135 wins & 226 nominations total,The Grand Budapest Hotel
Won 11 Oscars,29 wins & 13 nominations total,Ben-Hur
Nominated for 2 Oscars,3 wins & 3 nominations total,The Gold Rush
Won 4 Oscars,17 wins & 14 nominations total,Barry Lyndon
Nominated for 1 Oscar,64 wins & 188 nominations total,Gone Girl
Won 2 Oscars,56 wins & 115 nominations total,Hacksaw Ridge
Nominated for 7 Oscars,7 wins & 41 nominations total,In the Name of the Father
Won 8 Oscars,30 wins & 10 nominations total,On the Waterfront
Awards,33 wins & 10 nominations,Salinui chueok
Awards,2 wins & 1 nomination,The General
Won 5 Oscars,24 wins & 27 nominations total,The Deer Hunter
Nominated for 1 Oscar,16 wins & 4 nominations total,Smultronst?llet
Nominated for 1 Oscar,49 wins & 58 nominations total,Relatos salvajes
Won 1 Oscar,5 wins & 4 nominations total,The Third Man
Won 1 Oscar,20 wins & 19 nominations total,Dead Poets Society
Won 1 BAFTA Award,7 wins & 1 nomination total,Le Salaire de la peur
Awards,2 wins,Sherlock Jr.
Won 6 Oscars,245 wins & 233 nominations total,Mad Max: Fury Road
