Sl_No,Name,Release_Year,Duration,Certificate,Rating,Votes,Director,Stars,Description
135,Judgment at Nuremberg,1961,179,A,8.3,80581,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
136,The Truman Show,1998,103,PG,8.2,1126522,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney",An insurance salesman discovers his whole life is actually a reality TV show.
137,Ran,1985,162,15,8.2,130181,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
138,Casino,1995,178,18,8.2,538586,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci","In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite."
139,There Will Be Blood,2007,158,12A,8.2,608698,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
140,Pan's Labyrinth,2006,118,15,8.2,683707,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
141,Shutter Island,2010,138,15,8.2,1372602,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
142,Unforgiven,1992,130,15,8.2,422945,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
143,The Sixth Sense,1999,107,15,8.2,1015754,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette","Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
144,Jurassic Park,1993,127,PG,8.2,1022010,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
145,A Beautiful Mind,2001,135,12,8.2,954706,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
146,The Treasure of the Sierra Madre,1948,126,A,8.2,128631,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
