title,oscar,total
Catch Me If You Can,Nominated for 2 Oscars,16 wins & 46 nominations total
Gran Torino,NULL,21 wins & 22 nominations
Klaus,Nominated for 1 Oscar,11 wins & 26 nominations total
Tonari no Totoro,NULL,5 wins & 2 nominations
Million Dollar Baby,Won 4 Oscars,68 wins & 86 nominations total
Harry Potter and the Deathly Hallows: Part 2,Nominated for 3 Oscars,48 wins & 95 nominations total
Bacheha-Ye aseman,Nominated for 1 Oscar,13 wins & 5 nominations total
Blade Runner,Nominated for 2 Oscars,13 wins & 21 nominations total
12 Years a Slave,Won 3 Oscars,242 wins & 337 nominations total
Before Sunrise,NULL,1 win & 7 nominations
The Grand Budapest Hotel,Won 4 Oscars,135 wins & 226 nominations total
Ben-Hur,Won 11 Oscars,29 wins & 13 nominations total
The Gold Rush,Nominated for 2 Oscars,3 wins & 3 nominations total
Barry Lyndon,Won 4 Oscars,17 wins & 14 nominations total
Gone Girl,Nominated for 1 Oscar,64 wins & 188 nominations total
Hacksaw Ridge,Won 2 Oscars,56 wins & 115 nominations total
In the Name of the Father,Nominated for 7 Oscars,7 wins & 41 nominations total
On the Waterfront,Won 8 Oscars,30 wins & 10 nominations total
Salinui chueok,NULL,33 wins & 10 nominations
The General,NULL,2 wins & 1 nomination
The Deer Hunter,Won 5 Oscars,24 wins & 27 nominations total
Smultronst?llet,Nominated for 1 Oscar,16 wins & 4 nominations total
Relatos salvajes,Nominated for 1 Oscar,49 wins & 58 nominations total
The Third Man,Won 1 Oscar,5 wins & 4 nominations total
Dead Poets Society,Won 1 Oscar,20 wins & 19 nominations total
Le Salaire de la peur,Won 1 BAFTA Award,7 wins & 1 nomination total
Sherlock Jr.,NULL,2 wins
Mad Max: Fury Road,Won 6 Oscars,245 wins & 233 nominations total
"Monsters, Inc.",Won 1 Oscar,15 wins & 38 nominations total
Mr. Smith Goes to Washington,Won 1 Oscar,5 wins & 12 nominations total
Jaws,Won 3 Oscars,15 wins & 20 nominations total
How to Train Your Dragon,Nominated for 2 Oscars,25 wins & 63 nominations total
Mary and Max,NULL,5 wins & 9 nominations
Ford v Ferrari,Won 2 Oscars,25 wins & 88 nominations total
Det Sjunde inseglet,NULL,9 wins & 2 nominations
Room,Won 1 Oscar,108 wins & 141 nominations total
The Big Lebowski,NULL,5 wins & 18 nominations
Ratatouille,Won 1 Oscar,68 wins & 42 nominations total
T?ky? monogatari,NULL,3 wins
Rocky,Won 3 Oscars,21 wins & 23 nominations total
Hotel Rwanda,Nominated for 3 Oscars,16 wins & 49 nominations total
Logan,Nominated for 1 Oscar,28 wins & 82 nominations total
Spotlight,Won 2 Oscars,124 wins & 144 nominations total
Platoon,Won 4 Oscars,24 wins & 16 nominations total
La Passion de Jeanne d'Arc,NULL,4 wins & 1 nomination
The Terminator,NULL,8 wins & 7 nominations
Jai Bhim,NULL,10 wins & 20 nominations
Before Sunset,Nominated for 1 Oscar,9 wins & 32 nominations total
Rush,Won 1 BAFTA Award,6 wins & 65 nominations total
Network,Won 4 Oscars,20 wins & 27 nominations total
The Best Years of Our Lives,Won 7 Oscars,21 wins & 3 nominations total
The Exorcist,Won 2 Oscars,18 wins & 19 nominations total
Stand by Me,Nominated for 1 Oscar,6 wins & 12 nominations total
La Haine,NULL,8 wins & 15 nominations
Pirates of the Caribbean: The Curse of the Black Pearl,Nominated for 5 Oscars,38 wins & 104 nominations total
The Wizard of Oz,Won 2 Oscars,13 wins & 14 nominations total
The Incredibles,Won 2 Oscars,69 wins & 56 nominations total
Into the Wild,Nominated for 2 Oscars,23 wins & 106 nominations total
Hachi: A Dog's Tale,NULL,1 nomination
To Be or Not to Be,Nominated for 1 Oscar,2 wins & 2 nominations total
Ah-ga-ssi,Won 1 BAFTA Award,69 wins & 104 nominations total
Babam Ve Oglum,NULL,14 wins & 7 nominations
La battaglia di Algeri,Nominated for 3 Oscars,9 wins & 8 nominations total
Groundhog Day,Won 1 BAFTA Award,7 wins & 17 nominations total
The Grapes of Wrath,Won 2 Oscars,10 wins & 6 nominations total
Amores perros,Nominated for 1 Oscar,55 wins & 24 nominations total
The Sound of Music,Won 5 Oscars,17 wins & 13 nominations total
Rebecca,Won 2 Oscars,7 wins & 10 nominations total
Cool Hand Luke,Won 1 Oscar,5 wins & 11 nominations total
The Iron Giant,Won 1 BAFTA Award,20 wins & 18 nominations total
Pather Panchali,NULL,11 wins & 2 nominations total
It Happened One Night,Won 5 Oscars,11 wins & 2 nominations total
The Help,Won 1 Oscar,79 wins & 121 nominations total
Les Quatre cents coups,Nominated for 1 Oscar,8 wins & 5 nominations total
Aladdin,Won 2 Oscars,34 wins & 22 nominations total
Dances with Wolves,Won 7 Oscars,55 wins & 38 nominations total
Life of Brian,NULL,NULL
Gangs of Wasseypur,NULL,18 wins & 65 nominations
